seed,epoch,train_loss,val_rmse,val_mae,val_corr,lr
42,1,1.0121128779390585,1.0061811208724976,0.6154480576515198,0.03565501421689987,0.00019981253920068581
42,2,0.9855039612106655,1.0023767948150635,0.6068862676620483,0.04219089075922966,0.0001992508966248754
42,3,0.9793926147015198,1.0014114379882812,0.6054353713989258,0.04638164862990379,0.00019831728881922545
42,4,0.9754820705755897,1.0012956857681274,0.6055187582969666,0.051034390926361084,0.00019701540030721995
42,5,0.9708476416442705,0.9999727010726929,0.6020568013191223,0.0554114393889904,0.00019535036904803958
42,6,0.9672703833683677,0.9996495246887207,0.6010268926620483,0.05970613285899162,0.00019332876615938386
42,7,0.9646600206261096,0.9994806051254272,0.5999283790588379,0.06203807145357132,0.00019095856998427185
42,8,0.9609246532554212,0.9999786019325256,0.6024455428123474,0.06273994594812393,0.000188249134604167
42,9,0.9579849910476933,0.9991090893745422,0.5999460220336914,0.06528209149837494,0.00018521115292269142
42,10,0.9543327384668848,0.9992660880088806,0.6008346676826477,0.06937377154827118,0.00018185661446562
42,11,0.9528810602167378,0.9996281266212463,0.603013277053833,0.06490343064069748,0.00017819875806369996
42,12,0.9496152556460836,0.9982704520225525,0.5993592143058777,0.07063448429107666,0.00017425201960503408
42,13,0.9475596300933672,0.9988781213760376,0.5999853610992432,0.07107284665107727,0.0001700319750632254
42,14,0.9441403992798018,1.0011380910873413,0.6020922660827637,0.06725146621465683,0.0001655552790261255
42,15,0.9411101477301639,0.999392569065094,0.6011962890625,0.07147204130887985,0.00016083959896778495
42,16,0.9375934283370557,0.9987329840660095,0.599890947341919,0.07358390837907791,0.00015590354552300466
42,17,0.9362164087917494,0.9996529221534729,0.599490761756897,0.07134376466274261,0.00015076659903966294
42,18,0.9334288893834405,1.000558853149414,0.6011032462120056,0.07128482311964035,0.0001454490326986819
42,19,0.9306154633345811,0.9989263415336609,0.6007493734359741,0.074980728328228,0.0001399718325050444
42,20,0.9281037994053053,0.9987640976905823,0.5988459587097168,0.07620740681886673,0.00013435661446561999
42,21,0.9237652498742809,1.0005756616592407,0.6003429889678955,0.07520826905965805,0.0001286255392806612
42,22,0.9212578101002652,0.9987910389900208,0.6004676222801208,0.0777110606431961,0.00012280122488564387
42,23,0.9181605305360712,0.9994676113128662,0.6003361940383911,0.07709816098213196,0.00011690665718860895
42,24,0.9166539039300836,0.9991289973258972,0.6017255187034607,0.07666879892349243,0.0001109650993552848
42,25,0.9140556577755057,1.0022640228271484,0.6056759357452393,0.0709284245967865,0.00010500000000000002
42,26,0.9116747314515321,1.0004802942276,0.6027703285217285,0.07611356675624847,9.903490064471525e-05
42,27,0.9074148509813391,0.9996272325515747,0.6020584106445312,0.07799699157476425,9.309334281139112e-05
42,28,0.9052616921455964,1.0002213716506958,0.6033251285552979,0.07797084748744965,8.719877511435618e-05
42,29,0.9027910809154096,0.9999347925186157,0.601089358329773,0.07866714149713516,8.13744607193388e-05
42,30,0.9001843320286792,1.0009630918502808,0.601637601852417,0.07697418332099915,7.564338553438004e-05
42,31,0.8979903705742048,1.0022307634353638,0.6047493815422058,0.07509104907512665,7.002816749495564e-05
42,32,0.8943407652170762,1.002740740776062,0.6038035154342651,0.07570018619298935,6.455096730131812e-05
42,33,0.8921769721352536,1.0010985136032104,0.6028261184692383,0.07718618214130402,5.923340096033705e-05
42,34,0.889730559742969,1.0008583068847656,0.603360652923584,0.07696627825498581,5.409645447699531e-05
42,35,0.8867399938728499,1.0028842687606812,0.6028263568878174,0.07515451312065125,4.916040103221507e-05
42,36,0.8835755508878956,1.0025076866149902,0.6048961877822876,0.07523878663778305,4.444472097387448e-05
42,37,0.8838162538797959,1.0028787851333618,0.6037529706954956,0.07540111243724823,3.996802493677458e-05
42,38,0.880120909732321,1.0030418634414673,0.6044840216636658,0.07460551708936691,3.574798039496593e-05
42,39,0.8779572591833447,1.002521276473999,0.6045742034912109,0.0747368186712265,3.180124193630004e-05
42,40,0.8763884552147078,1.0027590990066528,0.6051529049873352,0.0755338966846466,2.8143385534380006e-05
42,41,0.8740850460270176,1.002015471458435,0.6034708023071289,0.077149398624897,2.4788847077308593e-05
42,42,0.8721586077109628,1.0025869607925415,0.6028175354003906,0.07592962682247162,2.1750865395832963e-05
42,43,0.8712051925451859,1.0028197765350342,0.6032840013504028,0.07608380913734436,1.9041430015728164e-05
42,44,0.8692124479490778,1.00279700756073,0.6038157939910889,0.07619977742433548,1.6671233840616125e-05
