날짜,시가,고가,저가,종가,거래량,predictable
2016-11-01,4900.0,4900,4705,4745,7541.0,1
2016-11-02,4725.0,4990,4705,4800,17462.0,1
2016-11-03,4890.0,4890,4780,4785,4449.0,1
2016-11-04,4785.0,4840,4740,4755,4069.0,1
2016-11-07,4745.0,4815,4740,4800,13816.0,1
2016-11-08,4800.0,4885,4760,4775,7259.0,1
2016-11-09,4800.0,4815,4450,4605,30213.0,1
2016-11-10,4750.0,4950,4610,4950,31608.0,1
2016-11-11,4950.0,5160,4680,5100,88344.0,1
2016-11-14,5200.0,5200,5050,5100,34288.0,1
2016-11-15,5060.0,5100,5010,5090,7720.0,1
2016-11-16,5100.0,5160,5070,5110,36408.0,1
2016-11-17,5120.0,5250,5110,5240,60020.0,1
2016-11-18,5260.0,5380,4950,4955,181110.0,1
2016-11-21,5080.0,5080,4855,4915,27230.0,1
2016-11-22,4915.0,4985,4900,4910,20889.0,1
2016-11-23,4880.0,5080,4880,4955,24757.0,1
2016-11-24,4955.0,5000,4850,4850,18166.0,1
2016-11-25,4990.0,4990,4850,4925,8531.0,1
2016-11-28,4925.0,4985,4815,4885,13611.0,1
2016-11-29,4950.0,4980,4875,4900,16280.0,1
2016-11-30,4905.0,4975,4860,4860,16355.0,1
2016-12-01,4920.0,4920,4800,4850,10275.0,1
2016-12-02,4800.0,4915,4800,4845,8023.0,1
2016-12-05,4940.0,4940,4815,4860,13900.0,1
2016-12-06,4820.0,4980,4810,4850,9865.0,1
2016-12-07,4890.0,4890,4785,4800,5663.0,1
2016-12-08,4800.0,4990,4760,4850,9893.0,1
2016-12-09,4870.0,4930,4800,4850,7862.0,1
2016-12-12,4930.0,4950,4820,4875,5583.0,1
2016-12-13,4955.0,4955,4850,4935,12061.0,1
2016-12-14,4930.0,4990,4925,4950,6764.0,1
2016-12-15,4945.0,4950,4880,4950,10993.0,1
2016-12-16,4915.0,4965,4910,4965,7396.0,1
2016-12-19,4975.0,4980,4890,4910,2727.0,1
2016-12-20,4910.0,4945,4860,4935,10368.0,1
2016-12-21,4945.0,4950,4895,4905,309636.0,1
2016-12-22,4940.0,4950,4870,4905,316503.0,1
2016-12-23,4945.0,4945,4850,4900,8718.0,1
2016-12-26,4940.0,4940,4875,4890,8796.0,1
2016-12-27,5000.0,5000,4870,4890,461707.0,1
2016-12-28,4860.0,4880,4760,4855,7947.0,1
2016-12-29,4920.0,4920,4815,4885,1131.0,1
2017-01-02,4885.0,4890,4765,4865,17022.0,1
2017-01-03,4855.0,4860,4775,4830,16511.0,1
2017-01-04,4815.0,4830,4800,4805,14744.0,1
2017-01-05,4865.0,4865,4755,4780,15064.0,1
2017-01-06,4780.0,4800,4760,4785,8594.0,1
2017-01-09,4755.0,4815,4695,4700,40016.0,1
2017-01-10,4720.0,4740,4690,4730,9500.0,1
2017-01-11,4725.0,4745,4670,4700,13471.0,1
2017-01-12,4700.0,4700,4625,4680,16086.0,1
2017-01-13,4680.0,4680,4620,4660,6670.0,1
2017-01-16,4680.0,4690,4595,4625,11171.0,1
2017-01-17,4650.0,4650,4585,4600,6498.0,1
2017-01-18,4615.0,4640,4510,4540,17567.0,1
2017-01-19,4550.0,4595,4515,4540,6548.0,1
2017-01-20,4535.0,4540,4455,4540,8714.0,1
2017-01-23,4555.0,4620,4500,4500,4685.0,1
2017-01-24,4595.0,4595,4450,4450,7721.0,1
2017-01-25,4470.0,4565,4455,4535,4216.0,1
2017-01-26,4530.0,4550,4450,4470,20043.0,1
2017-01-31,4460.0,4510,4450,4450,20174.0,1
