날짜,시가,고가,저가,종가,거래량,predictable
2016-11-01,34061.0,34061,34061,34063,0.0,1
2016-11-02,34061.0,34061,34061,34063,400.0,1
2016-11-03,34061.0,34061,33254,33843,486.0,1
2016-11-04,33842.0,33916,33034,33329,426.0,1
2016-11-07,33328.0,34502,33328,34357,99.0,1
2016-11-08,34355.0,34355,34355,34357,417.0,1
2016-11-09,34356.0,35825,34062,35825,429.0,1
2016-11-10,34430.0,35164,34430,34724,6.0,1
2016-11-11,34722.0,34722,33548,34357,403.0,1
2016-11-14,34061.0,34061,34061,34063,0.0,1
2016-11-15,34869.0,34869,33547,33917,6.0,1
2016-11-16,35163.0,35163,33255,33256,22.0,1
2016-11-17,33254.0,34355,33033,34357,39.0,1
2016-11-18,34282.0,34282,33329,33329,8.0,1
2016-11-21,33108.0,33108,32301,32301,76.0,1
2016-11-22,32301.0,32301,32301,32301,0.0,1
2016-11-23,32299.0,32299,31492,31567,9.0,1
2016-11-24,32886.0,32886,32886,32889,2.0,1
2016-11-25,32887.0,33180,32887,33182,3.0,1
2016-11-28,31712.0,31785,31565,31567,140.0,1
2016-11-29,32446.0,33107,31565,33109,24.0,1
2016-11-30,31565.0,31565,30978,31494,43.0,1
2016-12-01,32081.0,32154,31493,32155,75.0,1
2016-12-02,31933.0,32154,31933,32155,472.0,1
2016-12-05,32154.0,32154,32154,32155,3.0,1
2016-12-06,32154.0,32154,32081,32081,4.0,1
2016-12-07,31640.0,31640,30172,30173,27.0,1
2016-12-08,30245.0,30759,30099,30099,47.0,1
2016-12-09,30172.0,34062,30172,32228,25.0,1
2016-12-12,31787.0,31787,31347,31347,31.0,1
2016-12-13,31640.0,33034,31640,32081,64.0,1
2016-12-14,32081.0,32595,32081,32595,47.0,1
2016-12-15,32593.0,33180,32593,33182,7.0,1
2016-12-16,32961.0,33402,32961,33329,6.0,1
2016-12-19,33254.0,33254,33107,33109,4.0,1
2016-12-20,33106.0,33106,32740,32742,25.0,1
2016-12-21,32153.0,32153,31932,31934,25.0,1
2016-12-22,31785.0,32005,31785,32008,4.0,1
2016-12-23,31785.0,31785,31565,31567,52.0,1
2016-12-26,31420.0,32227,31420,32081,4.0,1
2016-12-27,31198.0,31785,31198,31641,36.0,1
2016-12-28,31125.0,31859,31125,31861,19.0,1
2016-12-29,31932.0,32080,30684,30760,87.0,1
2017-01-02,30757.0,30831,30757,30833,11.0,1
2017-01-03,30832.0,31053,30832,30980,45.0,1
2017-01-04,30980.0,30980,30980,30980,10.0,1
2017-01-05,30684.0,30831,30684,30833,3.0,1
2017-01-06,30831.0,30831,30831,30833,1.0,1
2017-01-09,30832.0,31420,30832,31421,40.0,1
2017-01-10,31420.0,31567,31347,31347,20.0,1
2017-01-11,31273.0,31567,31273,31274,782.0,1
2017-01-12,31493.0,31493,31420,31421,2.0,1
2017-01-13,31345.0,31565,31198,31567,17.0,1
2017-01-16,31566.0,32668,31566,32301,771.0,1
2017-01-17,32301.0,32301,31420,31421,526.0,1
2017-01-18,31345.0,32886,31345,32889,11690.0,1
2017-01-19,33329.0,33329,33329,33329,2.0,1
2017-01-20,33034.0,33255,33034,33256,8.0,1
2017-01-23,32153.0,33033,32153,32962,27.0,1
