날짜,시가,고가,저가,종가,거래량,predictable
2016-11-01,10800.0,10800,10800,10800,69.0,0
2016-11-02,10500.0,10550,10300,10450,2521.0,0
2016-11-03,10600.0,10600,10550,10600,828.0,0
2016-11-04,10600.0,10600,10400,10400,297.0,0
2016-11-07,10400.0,10500,10400,10500,368.0,0
2016-11-08,10500.0,10500,10400,10500,1205.0,0
2016-11-09,10400.0,10450,10200,10350,369.0,0
2016-11-10,10450.0,10550,10450,10550,8.0,0
2016-11-11,10550.0,10550,10400,10550,25.0,0
2016-11-14,10450.0,10550,10350,10550,381.0,0
2016-11-15,10550.0,10550,10450,10550,49.0,0
2016-11-16,10600.0,10600,10500,10600,238.0,0
2016-11-17,10600.0,10600,10500,10600,197.0,0
2016-11-18,10600.0,10600,10500,10600,213.0,0
2016-11-21,10550.0,10550,10400,10450,786.0,0
2016-11-22,10450.0,10500,10450,10500,532.0,0
2016-11-23,10450.0,10600,10400,10600,1519.0,0
2016-11-24,10550.0,10550,10400,10550,110.0,0
2016-11-25,10500.0,10550,10450,10550,122.0,0
2016-11-28,10500.0,10550,10400,10450,111.0,0
2016-11-29,10450.0,10550,10450,10550,33.0,0
2016-11-30,10450.0,10550,10450,10550,298.0,0
2016-12-01,10550.0,10550,10550,10550,0.0,0
2016-12-02,10500.0,10500,10450,10450,13.0,0
2016-12-05,10400.0,10450,10400,10450,471.0,0
2016-12-06,10400.0,10550,10400,10550,91.0,0
2016-12-07,10550.0,10550,10550,10550,17.0,0
2016-12-08,10550.0,10550,10400,10550,317.0,0
2016-12-09,10500.0,10500,10450,10500,315.0,0
2016-12-12,10500.0,10550,10450,10550,89.0,0
2016-12-13,10550.0,10550,10500,10500,364.0,0
2016-12-14,10550.0,10550,10500,10500,302.0,0
2016-12-15,10550.0,10550,10450,10550,11.0,0
2016-12-16,10550.0,10600,10500,10600,808.0,0
2016-12-19,10550.0,10550,10500,10550,67.0,0
2016-12-20,10600.0,10600,10500,10500,220.0,0
2016-12-21,10600.0,10600,10500,10600,1755.0,0
2016-12-22,10600.0,10600,10500,10600,156.0,0
2016-12-23,10550.0,10600,10500,10500,1816.0,0
2016-12-26,10550.0,10600,10550,10600,54.0,0
2016-12-27,10600.0,10600,10550,10600,694.0,0
2016-12-28,10600.0,10600,10300,10550,115.0,0
2016-12-29,10550.0,10550,10500,10500,56.0,0
2017-01-02,10550.0,10600,10300,10500,345.0,0
2017-01-03,10350.0,10500,10350,10500,177.0,0
2017-01-04,10450.0,10450,10300,10450,704.0,0
2017-01-05,10350.0,10500,10350,10450,191.0,0
2017-01-06,10500.0,10550,10450,10550,127.0,0
2017-01-09,10550.0,10600,10500,10500,52.0,0
2017-01-10,10450.0,10600,10400,10600,8.0,0
2017-01-11,10600.0,10600,10550,10600,152.0,0
2017-01-12,10400.0,10550,10400,10550,113.0,0
2017-01-13,10450.0,10550,10300,10400,474.0,0
2017-01-16,10500.0,10600,10400,10500,2401.0,0
2017-01-17,10550.0,10550,10350,10450,942.0,0
2017-01-18,10600.0,11150,10600,10700,7806.0,0
2017-01-19,10750.0,10950,10750,10750,509.0,0
2017-01-20,10800.0,10850,10700,10850,115.0,0
2017-01-23,10900.0,10900,10700,10700,508.0,0
2017-01-24,10700.0,10750,10550,10700,1817.0,0
2017-01-25,10550.0,10750,10550,10550,192.0,0
2017-01-26,10650.0,11100,10650,10650,104.0,0
2017-01-31,10700.0,11050,10700,10950,669.0,0
2017-02-01,10750.0,10750,10600,10750,608.0,0
2017-02-02,10750.0,10750,10500,10550,178.0,0
2017-02-03,10600.0,10600,10550,10550,115.0,0
2017-02-06,10550.0,10550,10350,10500,860.0,0
2017-02-07,10450.0,10500,10400,10500,108.0,0
2017-02-08,10500.0,10500,10350,10350,162.0,0
2017-02-09,10350.0,10350,10200,10200,841.0,0
2017-02-10,10200.0,10300,10100,10300,378.0,0
2017-02-13,10100.0,10250,10100,10250,2081.0,0
2017-02-14,10100.0,10250,10100,10250,613.0,0
2017-02-15,10250.0,10400,10250,10400,603.0,0
2017-02-16,10300.0,10450,10300,10450,4.0,0
2017-02-17,10500.0,10500,10500,10500,5.0,0
2017-02-20,10500.0,10500,10300,10450,164.0,0
2017-02-21,10400.0,10500,10400,10500,165.0,0
2017-02-22,10400.0,10500,10350,10400,702.0,0
2017-02-23,10300.0,10450,10150,10400,4078.0,0
2017-02-24,10400.0,10450,10400,10450,1487.0,0
2017-02-27,10450.0,10700,10300,10700,1328.0,0
2017-02-28,10500.0,10750,10300,10500,701.0,0
2017-03-02,10450.0,10450,10300,10400,365.0,0
2017-03-03,10350.0,10450,10200,10200,137.0,0
2017-03-06,10300.0,10300,10300,10300,170.0,0
2017-03-07,10350.0,10450,10300,10450,880.0,0
2017-03-08,10350.0,10450,10350,10450,2.0,0
2017-03-09,10450.0,10450,10450,10450,39.0,0
2017-03-10,10450.0,10450,10250,10400,32.0,0
2017-03-13,10350.0,10350,10350,10350,80.0,0
2017-03-14,10450.0,10450,10450,10450,125.0,0
2017-03-15,10450.0,10450,10450,10450,30.0,0
2017-03-16,10400.0,10550,10250,10450,486.0,0
2017-03-17,10400.0,10400,10200,10350,327.0,0
2017-03-20,10300.0,10300,10200,10200,185.0,0
2017-03-21,10250.0,10300,10100,10300,1023.0,0
2017-03-22,10200.0,10300,10000,10000,1892.0,0
2017-03-23,10000.0,10100,10000,10000,3065.0,0
2017-03-24,10000.0,10000,9900,9990,6986.0,0
2017-03-27,10000.0,10100,10000,10050,256.0,0
2017-03-28,10100.0,10150,10000,10000,372.0,0
2017-03-29,10050.0,10050,10000,10000,2422.0,0
2017-03-30,10000.0,10100,9950,10100,292.0,0
2017-03-31,10100.0,10100,9970,10100,551.0,0
2017-04-03,10150.0,10150,10000,10000,236.0,0
2017-04-04,10000.0,10000,9900,9990,1702.0,0
2017-04-05,9960.0,9980,9960,9970,414.0,0
2017-04-06,9990.0,10000,9900,10000,494.0,0
2017-04-07,9990.0,10100,9960,10100,3554.0,0
2017-04-10,10100.0,10100,9900,9900,1326.0,0
2017-04-11,9910.0,9910,9870,9870,28.0,0
2017-04-12,9870.0,9870,9750,9820,4390.0,0
2017-04-13,9820.0,9820,9670,9680,3450.0,0
2017-04-14,9650.0,9650,9570,9570,9595.0,0
2017-04-17,9680.0,9680,9630,9680,294.0,0
2017-04-18,9750.0,9780,9680,9780,182.0,0
2017-04-19,9780.0,9780,9780,9780,152.0,0
2017-04-20,9780.0,9780,9770,9780,13.0,0
2017-04-21,9810.0,9980,9810,9950,254.0,0
2017-04-24,9950.0,9950,9810,9880,252.0,0
2017-04-25,9950.0,9950,9880,9880,151.0,0
2017-04-26,9950.0,10000,9860,9980,290.0,0
2017-04-27,9960.0,9960,9950,9960,218.0,0
2017-04-28,10200.0,10200,9920,9920,212.0,0
2017-05-02,10250.0,10250,10000,10150,9.0,0
2017-05-04,9950.0,10150,9950,10150,5.0,0
2017-05-08,10100.0,10100,10100,10100,46.0,0
2017-05-10,10000.0,10000,9900,10000,92.0,0
2017-05-11,10300.0,10300,9970,10150,196.0,0
2017-05-12,10000.0,10150,9990,10150,272.0,0
