날짜,시가,고가,저가,종가,거래량,predictable
2016-11-01,10250.0,10550,10100,10200,105384.0,1
2016-11-02,10000.0,10100,9620,9630,175010.0,1
2016-11-03,9530.0,9930,9530,9850,60298.0,1
2016-11-04,9860.0,9920,9690,9780,31225.0,1
2016-11-07,9780.0,10150,9780,10150,54464.0,1
2016-11-08,10200.0,10250,9990,10100,38369.0,1
2016-11-09,10000.0,10150,9430,9790,118312.0,1
2016-11-10,9850.0,10100,9850,10000,93273.0,1
2016-11-11,9920.0,10250,9920,10150,49870.0,1
2016-11-14,10150.0,10550,10150,10400,31019.0,1
2016-11-15,10300.0,10450,10200,10350,44412.0,1
2016-11-16,10300.0,10900,10300,10850,77082.0,1
2016-11-17,10700.0,10950,10650,10900,19554.0,1
2016-11-18,10900.0,10900,10500,10500,42471.0,1
2016-11-21,10450.0,10500,10200,10250,21154.0,1
2016-11-22,10300.0,10650,10300,10500,22666.0,1
2016-11-23,10450.0,10500,10100,10100,22194.0,1
2016-11-24,10100.0,10350,10000,10150,51698.0,1
2016-11-25,10200.0,10900,10200,10400,28173.0,1
2016-11-28,10300.0,10350,10100,10100,27164.0,1
2016-11-29,10100.0,10700,10100,10450,39933.0,1
2016-11-30,10350.0,11000,10350,10900,43047.0,1
2016-12-01,11000.0,11100,10700,10700,64213.0,1
2016-12-02,10700.0,10900,10650,10700,17591.0,1
2016-12-05,10700.0,10800,10350,10350,25784.0,1
2016-12-06,10400.0,10700,10000,10300,19153.0,1
2016-12-07,10250.0,10400,10150,10250,22266.0,1
2016-12-08,10300.0,10500,10250,10400,17079.0,1
2016-12-09,10450.0,10700,10450,10500,14736.0,1
2016-12-12,10600.0,10750,10500,10750,22421.0,1
2016-12-13,10750.0,11250,10750,10950,82696.0,1
2016-12-14,11000.0,11300,10850,11200,54311.0,1
2016-12-15,11150.0,11650,11150,11500,62760.0,1
2016-12-16,11600.0,11700,11400,11600,37917.0,1
2016-12-19,11650.0,11850,11550,11750,47762.0,1
2016-12-20,11750.0,12100,11750,11850,83099.0,1
2016-12-21,11850.0,12100,11800,12000,43667.0,1
2016-12-22,11950.0,12000,11850,11850,43238.0,1
2016-12-23,11850.0,12050,11750,12000,32892.0,1
2016-12-26,12000.0,12450,11900,12150,50627.0,1
2016-12-27,12200.0,12400,12100,12400,23550.0,1
2016-12-28,12450.0,13050,12300,12750,103343.0,1
2016-12-29,12750.0,13050,12700,12950,92627.0,1
