날짜,시가,고가,저가,종가,거래량,등락률
2013-10-24,134939,134939,132677,132677,1881,
2013-10-25,132300,133619,131735,132677,1860,0.0
2013-10-28,135221,135221,131546,131735,1665,-0.7099949501420744
2013-10-29,131075,133336,131075,131641,6177,-0.07135537252818157
2013-10-30,133714,133714,131641,131735,2816,0.07140632477723505
2013-10-31,131358,133525,131169,132866,3731,0.8585417694614187
2013-11-01,131829,133054,131169,131546,2456,-0.9934821549531107
2013-11-04,130981,131169,129284,129473,5643,-1.5758745989995895
2013-11-05,128908,129944,125138,125704,80555,-2.9110316436631574
2013-11-06,123819,128530,123819,126175,4964,0.37468974734296445
2013-11-07,125138,126175,124478,124478,4327,-1.3449574004359026
2013-11-08,123819,125610,120710,123537,6085,-0.7559568759138161
2013-11-11,123537,125232,122594,123159,3484,-0.30598120401175355
2013-11-12,125138,125138,120804,121086,5334,-1.683190022653643
2013-11-13,121086,121558,117317,117317,5406,-3.112663726607535
2013-11-14,116092,117695,115244,115244,4502,-1.7670073390898167
2013-11-15,115527,118825,115527,117223,8315,1.7172260594911666
2013-11-18,116469,117977,115150,115244,3587,-1.6882352439367703
2013-11-19,114679,115338,113643,113736,10032,-1.308527992780535
2013-11-20,113171,114773,111852,111852,7842,-1.656467609200253
2013-11-21,111757,111757,108083,108177,5088,-3.2855916747130136
2013-11-22,108365,109308,105539,105539,8223,-2.4385960046960076
2013-11-25,106010,110250,106010,108931,7729,3.2139777712504385
2013-11-26,107518,109591,106198,106669,4974,-2.076543867218698
2013-11-27,106575,109213,106575,108177,3556,1.4137190748952366
2013-11-28,109591,114868,108742,113736,565906,5.138800299509138
2013-11-29,113360,117412,112229,117223,8685,3.0658718435675603
2013-12-02,117035,117128,114396,115055,3186,-1.8494664016447286
2013-12-03,115055,115433,111475,111852,4923,-2.7838859675807224
2013-12-04,109873,111946,108837,110250,7441,-1.4322497586095913
2013-12-05,110250,112983,109591,111381,6876,1.0258503401360544
2013-12-06,110816,112229,109778,111852,4543,0.4228728418671048
2013-12-09,116375,116375,112229,113265,4070,1.2632764724814933
2013-12-10,114396,114396,111475,112889,2189,-0.3319648611662914
2013-12-11,112323,113830,110156,110156,6259,-2.4209621840923385
2013-12-12,109873,112229,107800,112135,9415,1.7965430843530992
2013-12-13,112135,114019,110344,114019,3731,1.680117715253935
2013-12-16,112323,115527,110438,113643,6352,-0.3297695998035415
2013-12-17,114490,114868,112794,114868,4933,1.0779370484763688
2013-12-18,114019,115809,113548,115244,7955,0.32733224222585927
2013-12-19,115998,122688,115244,122688,11861,6.459338447120891
2013-12-20,120615,121652,117788,117788,7606,-3.993870631194575
2013-12-23,118731,122312,118636,122123,10731,3.680340951540055
2013-12-24,120333,124102,119956,124102,8438,1.6204973674082686
2013-12-26,125232,126081,123348,124950,10042,0.6833088910734718
2013-12-27,123348,125892,123348,125892,5745,0.7539015606242496
2013-12-30,126929,126929,119390,119390,18317,-5.164744384075239
2014-01-02,120333,120898,114114,114114,14267,-4.419130580450624
2014-01-03,114396,115150,111570,111757,14369,-2.0654783812678548
2014-01-06,111570,113643,110344,112983,10463,1.0970230052703633
2014-01-07,112135,112889,111286,112135,9117,-0.7505553932892559
2014-01-08,111570,112323,110250,112323,8068,0.16765505863468141
2014-01-09,112606,112606,108648,108648,8624,-3.271814321198686
2014-01-10,109213,110721,108365,110627,7174,1.821478536190266
2014-01-13,111098,111098,109119,109119,4008,-1.3631391974834353
2014-01-14,108648,108931,106951,108083,5036,-0.9494221904526251
2014-01-15,107140,109684,107140,108272,6465,0.17486561253851207
2014-01-16,108459,108837,107140,107612,2765,-0.6095758829614305
2014-01-17,107234,110250,107234,109402,6609,1.6633832658067873
2014-01-20,109684,112417,109402,112040,6557,2.411290470009689
2014-01-21,112040,112417,110910,111757,3638,-0.2525883612995359
2014-01-22,110816,112135,110344,110344,3957,-1.2643503315228577
2014-01-23,111381,111381,109402,109778,3607,-0.512941347060103
2014-01-24,109778,111663,108365,108365,8274,-1.2871431434349323
2014-01-27,109873,110250,107612,110250,7226,1.7394915332441288
2014-01-28,110532,114679,110250,111852,13475,1.453061224489796
